ch_name,ch_subs,ch_link,,,,,,email address,,,,
Carey LaManna,5910,https://www.youtube.com/channel/UCSuVLOQ3q6xKDgzb1Dpor9w,,,,,,,,,,
Mr. Sinn,23700,https://www.youtube.com/channel/UCyI9ZKZqlfaWhGLKTVTz9cA,,,,,,,,,,
Math And Physics Tutor,500,https://www.youtube.com/channel/UCkxs2YD8s4Jm8-uAAAFfEaw,,,,,,,,,,"To find an email address, go to the link under ch_link, then hit 'About', then scroll for the email"
cafe.studyy,31900,https://www.youtube.com/channel/UC5sk65hjSMgO4ZcI05RYhzQ,,,,,,,,,,"If no email is listed, type n/a"
The Princeton Review,11400,https://www.youtube.com/channel/UCpKbNuRROd1YBVwRz_vvhJw,,,,,,,,,,
Robert Tait,4080,https://www.youtube.com/channel/UCXgC63f4j_pi5gbLwcwD99g,,,,,,,,,,
Cody Henrichsen,2660,https://www.youtube.com/channel/UC-48lYQOnCwM_zzhfutcCtQ,,,,,,,,,,
Robert Ayton,3900,https://www.youtube.com/channel/UCwcko-upj4mgQNKM-x6Y74Q,,,,,,,,,,
Kelsey Falkowski,1150,https://www.youtube.com/channel/UC0SAELk3SBOhj8BqIs21S0g,,,,,,,,,,
JoczProductions,74900,https://www.youtube.com/channel/UCVP_vzaHr-s9SZoCOJu3GHw,,,,,,,,,,
Alex Academy,2770,https://www.youtube.com/channel/UCLhlZeS84RjxjaTRnb-gQwQ,,,,,,,,,,
studylemon,4820,https://www.youtube.com/channel/UCoLBWwPZbcUmetwlBnA5i_w,,,,,,,,,,
psychologyprogram,3740,https://www.youtube.com/channel/UCYyE1HK1j71Y9ZpsOYfizDw,,,,,,,,,,
"Mrs. McConnell's AP Art History, JDCHS",2550,https://www.youtube.com/channel/UCf6z24ImvhVmbkxAwEZpD7g,,,,,,,,,,
You Will Love Economics,17800,https://www.youtube.com/channel/UCEk-p_pQvT-pKKRcIbUouhQ,,,,,,,,,,
GBES,694,https://www.youtube.com/channel/UCXRCi1oQIgfuh1fExwCfGaQ,,,,,,,,,,
Bill Kinney,8600,https://www.youtube.com/channel/UCzLIrCdw8yBcknEf5kt6jnw,,,,,,,,,,
gdawgrapper,6990,https://www.youtube.com/channel/UCTRPOCsDrjWuqwn9p6cFNWA,,,,,,,,,,
Michael Farabaugh,5770,https://www.youtube.com/channel/UCuS6lUi8mITtAZnUytu77Kg,,,,,,,,,,
Flipping Physics,54600,https://www.youtube.com/channel/UCYqACVYl0c0BhlVN6X2HIMg,,,,,,,,,,
Mr. Raymond's Civics and Social Studies Academy,18000,https://www.youtube.com/channel/UCF6P4oCJGjk7-qgcoueYWZw,,,,,,,,,,
turksvids,8270,https://www.youtube.com/channel/UCtspR6cT4WslRbP2qp0felw,,,,,,,,,,
chemfan123,1310,https://www.youtube.com/channel/UCu1sFWEa_ZFJn8PQHUQXHbw,,,,,,,,,,
Jason Welker,58900,https://www.youtube.com/channel/UCqfPqpkvs1gaDNfrmwtlUpA,,,,,,,,,,
whaptors,2290,https://www.youtube.com/channel/UCatXv1_eIc4Yr2oTRRK1s6w,,,,,,,,,,
No Bull Economics Lessons,7170,https://www.youtube.com/channel/UCQDOdilus97Rfm1GfGs-Rhg,,,,,,,,,,
Projectific Inc.,719,https://www.youtube.com/channel/UCb9qaEafN_gQusuSw8qhEdw,,,,,,,,,,
WOWmath.org,15800,https://www.youtube.com/channel/UCSmCmynfuYsXudoi3l_e3Nw,,,,,,,,,,
GreenCE Education,1590,https://www.youtube.com/channel/UCXIFY87Mm0tjYELSs1-U1SA,,,,,,,,,,
Josh Beasley,36400,https://www.youtube.com/channel/UCWZs3J4-EI5nfznIV_lTMJQ,,,,,,,,,,
Ashley Crisp,652,https://www.youtube.com/channel/UC9ChxUQfkM08KGljEWvLPOg,,,,,,,,,,
Jeremy Adams,577,https://www.youtube.com/channel/UCTnk5rPncODcZOwyZvGj5Gg,,,,,,,,,,
Green Building Research Institute,3920,https://www.youtube.com/channel/UC02rVP0Ms0RQX6uI7nL5QWw,,,,,,,,,,
Prof. Bryan Yves Araneta,1130,https://www.youtube.com/channel/UCbVEIoqdGUcnFT44Y-wdFhA,,,,,,,,,,
Teach Me Economics with Darren Landinguin,765,https://www.youtube.com/channel/UC59kEOwWYMr3WIDCBA5BSxw,,,,,,,,,,
Knowvio,888,https://www.youtube.com/channel/UCp0nNlCYB6o1IoH2rpA_bTA,,,,,,,,,,
We Are Showboat,10300,https://www.youtube.com/channel/UCYGxJiHb5cZbWJfkjqm3TsQ,,,,,,,,,,
Paul Sargent,21100,https://www.youtube.com/channel/UCKSp_Uwk8NL7BBQVpUv_AWQ,,,,,,,,,,
Ms. Peer Editor,1420,https://www.youtube.com/channel/UCSNXn6AG_4Nu_9TX6BoSBNQ,,,,,,,,,,
TAYLOR BAUMEISTER,1090,https://www.youtube.com/channel/UCvhNJRvighDCcincSlW3LXg,,,,,,,,,,
PGCPS,3480,https://www.youtube.com/channel/UCmKtKGqASCz6Hy81hRez6GQ,,,,,,,,,,
Matthew Craig,567,https://www.youtube.com/channel/UCGA-EdsJvNQ_wVrhznFKPqQ,,,,,,,,,,
Time Machine Teacher,1170,https://www.youtube.com/channel/UCP4odc_egPUDwI1ObadS8og,,,,,,,,,,